long;str;str
1;Word of Recall (OLD);
3;Word of Mass Recall (OLD);
4;Word of Recall Other;
5;Death Touch;Instantly Kills the target.  I hope you feel good about yourself now.....
7;Suicide;"The caster commits suicide; instantly killing themself."
10;Blizzard;Ice shards pelt the target area doing ${$42208m1*8*$<mult>} Frost damage over $10d.
11;Frostbolt of Ages;Deals $s1 Frost damage to the target.
12;Hot Foot (TEST);
13;Swim Speed (TEST);
14;Mana Drain;
15;Leech (TEST);
17;Power Word: Shield;"Draws on the soul of the friendly target to shield them; absorbing $s1 damage.  Lasts $d.  While the shield holds; spellcasting will not be interrupted by damage.  Once shielded; the target cannot be shielded again for $6788d."
18;Heal Self (TEST);
22;Super Food (TEST);
24;Major Heal Self (TEST);
25;Stun;
26;Bind Self (TEST);
27;Goldshire Portal;
31;Teleport Goldshire;
33;Teleport Westfall;
34;Teleport Duskwood;
35;Teleport Elwynn;
43;Berserk;
45;War Stomp;Knocks nearby enemies back.
47;Sprint (TEST);
49;Heal 1000 (TEST);Heals the target for $s1.
50;Show Dot Variable;Dumps the dot variables of the current target to the console.
53;Backstab;"Backstab the target; causing $m2% weapon damage plus ${$m1*1.5} to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;."
56;Stun;Stuns target for $d.
58;Magic Missile (TEST);
59;Normal bow shot (TEST);
60;Long bow shot (TEST);
61;Really Long bow shot (TEST);
65;Haste;Increases your melee haste rating by $s1 for $d.
66;Invisibility;"$?s54354[Instantly makes the caster invisible; reducing all threat.][Fades the caster to invisibility over $66d; reducing threat each second.]  The effect is cancelled if you perform any actions.  While invisible; you can only see other invisible targets and those who can see invisible.  Lasts $32612d."
67;Vindication;Gives the Paladin's damaging melee attacks a chance to reduce the target's attack poewr by $s1 for $d.
68;Editor Test Spell;
71;Defensive Stance;A defensive combat stance.  Decreases damage taken by $7376s1% and damage caused by $7376s2%.  Increases threat generated.
72;Shield Bash;"Bash the target with your shield dazing them and interrupting spellcasting; which prevents any spell in that school from being cast for $d."
75;Auto Shot;Automatically shoots the target until cancelled.  Ranged attacks fired by a Hunter all have $34082s2% increased attack speed.
77;Turtle's Shell;
78;Heroic Strike;A strong attack that increases melee damage by $s1 and causes a high amount of threat.
81;Dodge;Gives a chance to dodge enemy melee attacks.
87;Automation Mechanic Immunity;Makes you immune to all spell mechanics.  Used in Automation scripts to give the bot immunity to negative effects while still being able to interact with objects.
89;Cripple;"Cripples the target; reducing movement speed by $s3%; increasing time between melee and ranged attacks by $s1%.  Lasts $d."
91;Savage Assault;
96;Dismember;Increases the damage of your next melee swing by $s1 and causes the target to bleed
99;Demoralizing Roar;"The druid roars; decreasing nearby enemies' melee attack power by $s1.  Lasts $d."
100;Charge;"Charge an enemy; generate $/10;s2 rage; and stun it for $7922d.  Cannot be used in combat."
101;Trip;"Trips the enemy humanoid; causing $s2 damage and knocking the opponent down for $d.  Awards $s3 combo point."
107;Block;Gives a chance to block enemy melee and ranged attacks.
108;Evade (DND);
110;Spell Deflection (NYI);
111;Time Step;
112;Reflect Magic (TEST);
